"source_folder","source_filename","figma_page","figma_section","figma_source_frame","figma_editable_frame","feature","screen","locale","state","screen_type","component_dependencies","prototype_flow","completion_status","notes"
"01-entry","01-loading-screen-preparing-experience.png","10 — Entry","02 — Source Screenshots","SRC / 01-loading-screen-preparing-experience.png","","Entry","loading-screen-preparing-experience","Shared","Loading","Screen state","TBD after editable reconstruction","Entry","Inventory complete — Figma import blocked by MCP plan limit","Source path: 01-entry/01-loading-screen-preparing-experience.png; dimensions: 941x1672"
"01-entry","01-onboarding-step1-discover-interior-ar.png","10 — Entry","02 — Source Screenshots","SRC / 01-onboarding-step1-discover-interior-ar.png","","Entry","onboarding-step1-discover-interior","Arabic","Default","Screen reference","TBD after editable reconstruction","Entry","Inventory complete — Figma import blocked by MCP plan limit","Source path: 01-entry/01-onboarding-step1-discover-interior-ar.png; dimensions: 941x1672"
"01-entry","01-onboarding-step1-discover-interior-fr.png","10 — Entry","02 — Source Screenshots","SRC / 01-onboarding-step1-discover-interior-fr.png","","Entry","onboarding-step1-discover-interior","French","Default","Screen reference","TBD after editable reconstruction","Entry","Inventory complete — Figma import blocked by MCP plan limit","Source path: 01-entry/01-onboarding-step1-discover-interior-fr.png; dimensions: 941x1672"
"01-entry","01-onboarding-step2-choose-with-confidence-ar.png","10 — Entry","02 — Source Screenshots","SRC / 01-onboarding-step2-choose-with-confidence-ar.png","","Entry","onboarding-step2-choose-with-confidence","Arabic","Default","Screen reference","TBD after editable reconstruction","Entry","Inventory complete — Figma import blocked by MCP plan limit","Source path: 01-entry/01-onboarding-step2-choose-with-confidence-ar.png; dimensions: 941x1672"
"01-entry","01-onboarding-step2-choose-with-confidence-fr.png","10 — Entry","02 — Source Screenshots","SRC / 01-onboarding-step2-choose-with-confidence-fr.png","","Entry","onboarding-step2-choose-with-confidence","French","Default","Screen reference","TBD after editable reconstruction","Entry","Inventory complete — Figma import blocked by MCP plan limit","Source path: 01-entry/01-onboarding-step2-choose-with-confidence-fr.png; dimensions: 941x1672"
"01-entry","01-onboarding-step3-order-simply-ar.png","10 — Entry","02 — Source Screenshots","SRC / 01-onboarding-step3-order-simply-ar.png","","Entry","onboarding-step3-order-simply","Arabic","Default","Screen reference","TBD after editable reconstruction","Entry","Inventory complete — Figma import blocked by MCP plan limit","Source path: 01-entry/01-onboarding-step3-order-simply-ar.png; dimensions: 941x1672"
"01-entry","01-onboarding-step3-order-simply-fr.png","10 — Entry","02 — Source Screenshots","SRC / 01-onboarding-step3-order-simply-fr.png","","Entry","onboarding-step3-order-simply","French","Default","Screen reference","TBD after editable reconstruction","Entry","Inventory complete — Figma import blocked by MCP plan limit","Source path: 01-entry/01-onboarding-step3-order-simply-fr.png; dimensions: 941x1672"
"01-entry","01-splash-screen-logo.png","10 — Entry","02 — Source Screenshots","SRC / 01-splash-screen-logo.png","","Entry","splash-screen-logo","Shared","Default","Screen reference","TBD after editable reconstruction","Entry","Inventory complete — Figma import blocked by MCP plan limit","Source path: 01-entry/01-splash-screen-logo.png; dimensions: 941x1672"
"02-discovery","02-categories-photo-grid-ar.png","20 — Discovery","02 — Source Screenshots","SRC / 02-categories-photo-grid-ar.png","","Discovery","categories-photo-grid","Arabic","Default","Screen reference","TBD after editable reconstruction","Discovery","Inventory complete — Figma import blocked by MCP plan limit","Source path: 02-discovery/02-categories-photo-grid-ar.png; dimensions: 941x1672"
"02-discovery","02-categories-photo-grid-fr.png","20 — Discovery","02 — Source Screenshots","SRC / 02-categories-photo-grid-fr.png","","Discovery","categories-photo-grid","French","Default","Screen reference","TBD after editable reconstruction","Discovery","Inventory complete — Figma import blocked by MCP plan limit","Source path: 02-discovery/02-categories-photo-grid-fr.png; dimensions: 941x1672"
"02-discovery","02-category-landing-living-room-ar.png","20 — Discovery","02 — Source Screenshots","SRC / 02-category-landing-living-room-ar.png","","Discovery","category-landing-living-room","Arabic","Default","Screen reference","TBD after editable reconstruction","Discovery","Inventory complete — Figma import blocked by MCP plan limit","Source path: 02-discovery/02-category-landing-living-room-ar.png; dimensions: 941x1672"
"02-discovery","02-category-landing-salon-collections-fr.png","20 — Discovery","02 — Source Screenshots","SRC / 02-category-landing-salon-collections-fr.png","","Discovery","category-landing-salon-collections","French","Default","Screen reference","TBD after editable reconstruction","Discovery","Inventory complete — Figma import blocked by MCP plan limit","Source path: 02-discovery/02-category-landing-salon-collections-fr.png; dimensions: 941x1672"
"02-discovery","02-collection-salon-contemporain-shop-the-look.png","20 — Discovery","02 — Source Screenshots","SRC / 02-collection-salon-contemporain-shop-the-look.png","","Discovery","collection-salon-contemporain-shop-the-look","Shared","Default","Screen reference","TBD after editable reconstruction","Discovery","Inventory complete — Figma import blocked by MCP plan limit","Source path: 02-discovery/02-collection-salon-contemporain-shop-the-look.png; dimensions: 941x1672"
"02-discovery","02-filter-panel-category-price-color-material.png","20 — Discovery","02 — Source Screenshots","SRC / 02-filter-panel-category-price-color-material.png","","Discovery","filter-panel-category-price-color-material","Shared","Default","Screen reference","TBD after editable reconstruction","Discovery","Inventory complete — Figma import blocked by MCP plan limit","Source path: 02-discovery/02-filter-panel-category-price-color-material.png; dimensions: 941x1672"
"02-discovery","02-flash-deals-countdown-timer.png","20 — Discovery","02 — Source Screenshots","SRC / 02-flash-deals-countdown-timer.png","","Discovery","flash-deals-countdown-timer","Shared","Default","Screen reference","TBD after editable reconstruction","Discovery","Inventory complete — Figma import blocked by MCP plan limit","Source path: 02-discovery/02-flash-deals-countdown-timer.png; dimensions: 941x1672"
"02-discovery","02-home-hero-new-arrivals-best-sellers-fr.png","20 — Discovery","02 — Source Screenshots","SRC / 02-home-hero-new-arrivals-best-sellers-fr.png","","Discovery","home-hero-new-arrivals-best-sellers","French","Default","Screen reference","TBD after editable reconstruction","Discovery","Inventory complete — Figma import blocked by MCP plan limit","Source path: 02-discovery/02-home-hero-new-arrivals-best-sellers-fr.png; dimensions: 941x1672"
"02-discovery","02-home-hero-shop-by-category-ar.png","20 — Discovery","02 — Source Screenshots","SRC / 02-home-hero-shop-by-category-ar.png","","Discovery","home-hero-shop-by-category","Arabic","Default","Screen reference","TBD after editable reconstruction","Discovery","Inventory complete — Figma import blocked by MCP plan limit","Source path: 02-discovery/02-home-hero-shop-by-category-ar.png; dimensions: 941x1672"
"02-discovery","02-home-logged-in-personalized-recommendations.png","20 — Discovery","02 — Source Screenshots","SRC / 02-home-logged-in-personalized-recommendations.png","","Discovery","home-logged-in-personalized-recommendations","Shared","Default","Screen reference","TBD after editable reconstruction","Discovery","Inventory complete — Figma import blocked by MCP plan limit","Source path: 02-discovery/02-home-logged-in-personalized-recommendations.png; dimensions: 941x1672"
"02-discovery","02-promotions-campaigns-offers.png","20 — Discovery","02 — Source Screenshots","SRC / 02-promotions-campaigns-offers.png","","Discovery","promotions-campaigns-offers","Shared","Default","Screen reference","TBD after editable reconstruction","Discovery","Inventory complete — Figma import blocked by MCP plan limit","Source path: 02-discovery/02-promotions-campaigns-offers.png; dimensions: 941x1672"
"02-discovery","02-recently-viewed-products.png","20 — Discovery","02 — Source Screenshots","SRC / 02-recently-viewed-products.png","","Discovery","recently-viewed-products","Shared","Default","Screen reference","TBD after editable reconstruction","Discovery","Inventory complete — Figma import blocked by MCP plan limit","Source path: 02-discovery/02-recently-viewed-products.png; dimensions: 941x1672"
"02-discovery","02-search-no-results-found.png","20 — Discovery","02 — Source Screenshots","SRC / 02-search-no-results-found.png","","Discovery","search-no-results-found","Shared","Default","Screen reference","TBD after editable reconstruction","Discovery","Inventory complete — Figma import blocked by MCP plan limit","Source path: 02-discovery/02-search-no-results-found.png; dimensions: 941x1672"
"02-discovery","02-search-recent-popular-trending-categories.png","20 — Discovery","02 — Source Screenshots","SRC / 02-search-recent-popular-trending-categories.png","","Discovery","search-recent-popular-trending-categories","Shared","Default","Screen reference","TBD after editable reconstruction","Discovery","Inventory complete — Figma import blocked by MCP plan limit","Source path: 02-discovery/02-search-recent-popular-trending-categories.png; dimensions: 941x1672"
"02-discovery","02-search-results-grid-fauteuil.png","20 — Discovery","02 — Source Screenshots","SRC / 02-search-results-grid-fauteuil.png","","Discovery","search-results-grid-fauteuil","Shared","Default","Screen reference","TBD after editable reconstruction","Discovery","Inventory complete — Figma import blocked by MCP plan limit","Source path: 02-discovery/02-search-results-grid-fauteuil.png; dimensions: 941x1672"
"02-discovery","02-subcategory-canapes-filtered-list.png","20 — Discovery","02 — Source Screenshots","SRC / 02-subcategory-canapes-filtered-list.png","","Discovery","subcategory-canapes-filtered-list","Shared","Default","Screen reference","TBD after editable reconstruction","Discovery","Inventory complete — Figma import blocked by MCP plan limit","Source path: 02-discovery/02-subcategory-canapes-filtered-list.png; dimensions: 941x1672"
"03-product","03-product-added-to-cart-confirmation.png","30 — Product","02 — Source Screenshots","SRC / 03-product-added-to-cart-confirmation.png","","Product","product-added-to-cart-confirmation","Shared","Confirmation","Dialog","TBD after editable reconstruction","Product","Inventory complete — Figma import blocked by MCP plan limit","Source path: 03-product/03-product-added-to-cart-confirmation.png; dimensions: 941x1672"
"03-product","03-product-customer-reviews-ratings.png","30 — Product","02 — Source Screenshots","SRC / 03-product-customer-reviews-ratings.png","","Product","product-customer-reviews-ratings","Shared","Default","Screen reference","TBD after editable reconstruction","Product","Inventory complete — Figma import blocked by MCP plan limit","Source path: 03-product/03-product-customer-reviews-ratings.png; dimensions: 941x1672"
"03-product","03-product-delivery-returns-info.png","30 — Product","02 — Source Screenshots","SRC / 03-product-delivery-returns-info.png","","Product","product-delivery-returns-info","Shared","Default","Screen reference","TBD after editable reconstruction","Product","Inventory complete — Figma import blocked by MCP plan limit","Source path: 03-product/03-product-delivery-returns-info.png; dimensions: 941x1672"
"03-product","03-product-detail-full-description-reviews-specs.png","30 — Product","02 — Source Screenshots","SRC / 03-product-detail-full-description-reviews-specs.png","","Product","product-detail-full-description-reviews-specs","Shared","Default","Screen reference","TBD after editable reconstruction","Product","Inventory complete — Figma import blocked by MCP plan limit","Source path: 03-product/03-product-detail-full-description-reviews-specs.png; dimensions: 941x1672"
"03-product","03-product-detail-image-carousel-add-to-cart.png","30 — Product","02 — Source Screenshots","SRC / 03-product-detail-image-carousel-add-to-cart.png","","Product","product-detail-image-carousel-add-to-cart","Shared","Default","Screen reference","TBD after editable reconstruction","Product","Inventory complete — Figma import blocked by MCP plan limit","Source path: 03-product/03-product-detail-image-carousel-add-to-cart.png; dimensions: 941x1672"
"03-product","03-product-gallery-zoom-thumbnails.png","30 — Product","02 — Source Screenshots","SRC / 03-product-gallery-zoom-thumbnails.png","","Product","product-gallery-zoom-thumbnails","Shared","Default","Screen reference","TBD after editable reconstruction","Product","Inventory complete — Figma import blocked by MCP plan limit","Source path: 03-product/03-product-gallery-zoom-thumbnails.png; dimensions: 941x1672"
"03-product","03-product-specifications-table.png","30 — Product","02 — Source Screenshots","SRC / 03-product-specifications-table.png","","Product","product-specifications-table","Shared","Default","Screen reference","TBD after editable reconstruction","Product","Inventory complete — Figma import blocked by MCP plan limit","Source path: 03-product/03-product-specifications-table.png; dimensions: 941x1672"
"03-product","03-product-variant-selector-color-material-size.png","30 — Product","02 — Source Screenshots","SRC / 03-product-variant-selector-color-material-size.png","","Product","product-variant-selector-color-material-size","Shared","Default","Screen reference","TBD after editable reconstruction","Product","Inventory complete — Figma import blocked by MCP plan limit","Source path: 03-product/03-product-variant-selector-color-material-size.png; dimensions: 941x1672"
"04-auth","04-account-created-success-fr.png","40 — Authentication","02 — Source Screenshots","SRC / 04-account-created-success-fr.png","","Authentication","account-created-success","French","Success","Screen state","TBD after editable reconstruction","Authentication","Inventory complete — Figma import blocked by MCP plan limit","Source path: 04-auth/04-account-created-success-fr.png; dimensions: 941x1672"
"04-auth","04-consent-terms-privacy-fr.png","40 — Authentication","02 — Source Screenshots","SRC / 04-consent-terms-privacy-fr.png","","Authentication","consent-terms-privacy","French","Default","Screen reference","TBD after editable reconstruction","Authentication","Inventory complete — Figma import blocked by MCP plan limit","Source path: 04-auth/04-consent-terms-privacy-fr.png; dimensions: 941x1672"
"04-auth","04-create-new-password-requirements-ar.png","40 — Authentication","02 — Source Screenshots","SRC / 04-create-new-password-requirements-ar.png","","Authentication","create-new-password-requirements","Arabic","Default","Screen reference","TBD after editable reconstruction","Authentication","Inventory complete — Figma import blocked by MCP plan limit","Source path: 04-auth/04-create-new-password-requirements-ar.png; dimensions: 941x1672"
"04-auth","04-create-new-password-requirements-fr.png","40 — Authentication","02 — Source Screenshots","SRC / 04-create-new-password-requirements-fr.png","","Authentication","create-new-password-requirements","French","Default","Screen reference","TBD after editable reconstruction","Authentication","Inventory complete — Figma import blocked by MCP plan limit","Source path: 04-auth/04-create-new-password-requirements-fr.png; dimensions: 941x1672"
"04-auth","04-email-verification-link-sent-fr.png","40 — Authentication","02 — Source Screenshots","SRC / 04-email-verification-link-sent-fr.png","","Authentication","email-verification-link-sent","French","Default","Screen reference","TBD after editable reconstruction","Authentication","Inventory complete — Figma import blocked by MCP plan limit","Source path: 04-auth/04-email-verification-link-sent-fr.png; dimensions: 941x1672"
"04-auth","04-forgot-password-enter-email-ar.png","40 — Authentication","02 — Source Screenshots","SRC / 04-forgot-password-enter-email-ar.png","","Authentication","forgot-password-enter-email","Arabic","Default","Screen reference","TBD after editable reconstruction","Authentication","Inventory complete — Figma import blocked by MCP plan limit","Source path: 04-auth/04-forgot-password-enter-email-ar.png; dimensions: 941x1672"
"04-auth","04-forgot-password-enter-email-fr.png","40 — Authentication","02 — Source Screenshots","SRC / 04-forgot-password-enter-email-fr.png","","Authentication","forgot-password-enter-email","French","Default","Screen reference","TBD after editable reconstruction","Authentication","Inventory complete — Figma import blocked by MCP plan limit","Source path: 04-auth/04-forgot-password-enter-email-fr.png; dimensions: 941x1672"
"04-auth","04-login-email-phone-password-ar.png","40 — Authentication","02 — Source Screenshots","SRC / 04-login-email-phone-password-ar.png","","Authentication","login-email-phone-password","Arabic","Default","Screen reference","TBD after editable reconstruction","Authentication","Inventory complete — Figma import blocked by MCP plan limit","Source path: 04-auth/04-login-email-phone-password-ar.png; dimensions: 941x1672"
"04-auth","04-login-email-phone-password-fr.png","40 — Authentication","02 — Source Screenshots","SRC / 04-login-email-phone-password-fr.png","","Authentication","login-email-phone-password","French","Default","Screen reference","TBD after editable reconstruction","Authentication","Inventory complete — Figma import blocked by MCP plan limit","Source path: 04-auth/04-login-email-phone-password-fr.png; dimensions: 941x1672"
"04-auth","04-login-error-incorrect-credentials-fr.png","40 — Authentication","02 — Source Screenshots","SRC / 04-login-error-incorrect-credentials-fr.png","","Authentication","login-error-incorrect-credentials","French","Error","Screen state","TBD after editable reconstruction","Authentication","Inventory complete — Figma import blocked by MCP plan limit","Source path: 04-auth/04-login-error-incorrect-credentials-fr.png; dimensions: 941x1672"
"04-auth","04-login-loading-state-fr.png","40 — Authentication","02 — Source Screenshots","SRC / 04-login-loading-state-fr.png","","Authentication","login-loading-state","French","Loading","Screen state","TBD after editable reconstruction","Authentication","Inventory complete — Figma import blocked by MCP plan limit","Source path: 04-auth/04-login-loading-state-fr.png; dimensions: 941x1672"
"04-auth","04-login-prompt-overlay-favorites-fr.png","40 — Authentication","02 — Source Screenshots","SRC / 04-login-prompt-overlay-favorites-fr.png","","Authentication","login-prompt-overlay-favorites","French","Overlay","Overlay","TBD after editable reconstruction","Authentication","Inventory complete — Figma import blocked by MCP plan limit","Source path: 04-auth/04-login-prompt-overlay-favorites-fr.png; dimensions: 941x1672"
"04-auth","04-login-prompt-overlay-wishlist-ar.png","40 — Authentication","02 — Source Screenshots","SRC / 04-login-prompt-overlay-wishlist-ar.png","","Authentication","login-prompt-overlay-wishlist","Arabic","Overlay","Overlay","TBD after editable reconstruction","Authentication","Inventory complete — Figma import blocked by MCP plan limit","Source path: 04-auth/04-login-prompt-overlay-wishlist-ar.png; dimensions: 941x1672"
"04-auth","04-otp-phone-verification-ar.png","40 — Authentication","02 — Source Screenshots","SRC / 04-otp-phone-verification-ar.png","","Authentication","otp-phone-verification","Arabic","Default","Screen reference","TBD after editable reconstruction","Authentication","Inventory complete — Figma import blocked by MCP plan limit","Source path: 04-auth/04-otp-phone-verification-ar.png; dimensions: 941x1672"
"04-auth","04-otp-phone-verification-fr.png","40 — Authentication","02 — Source Screenshots","SRC / 04-otp-phone-verification-fr.png","","Authentication","otp-phone-verification","French","Default","Screen reference","TBD after editable reconstruction","Authentication","Inventory complete — Figma import blocked by MCP plan limit","Source path: 04-auth/04-otp-phone-verification-fr.png; dimensions: 941x1672"
"04-auth","04-otp-verification-error-incorrect-code-fr.png","40 — Authentication","02 — Source Screenshots","SRC / 04-otp-verification-error-incorrect-code-fr.png","","Authentication","otp-verification-error-incorrect-code","French","Error","Screen state","TBD after editable reconstruction","Authentication","Inventory complete — Figma import blocked by MCP plan limit","Source path: 04-auth/04-otp-verification-error-incorrect-code-fr.png; dimensions: 941x1672"
"04-auth","04-password-changed-success-fr.png","40 — Authentication","02 — Source Screenshots","SRC / 04-password-changed-success-fr.png","","Authentication","password-changed-success","French","Success","Screen state","TBD after editable reconstruction","Authentication","Inventory complete — Figma import blocked by MCP plan limit","Source path: 04-auth/04-password-changed-success-fr.png; dimensions: 941x1672"
"04-auth","04-registration-form-ar.png","40 — Authentication","02 — Source Screenshots","SRC / 04-registration-form-ar.png","","Authentication","registration-form","Arabic","Default","Screen reference","TBD after editable reconstruction","Authentication","Inventory complete — Figma import blocked by MCP plan limit","Source path: 04-auth/04-registration-form-ar.png; dimensions: 941x1672"
"04-auth","04-registration-form-fr.png","40 — Authentication","02 — Source Screenshots","SRC / 04-registration-form-fr.png","","Authentication","registration-form","French","Default","Screen reference","TBD after editable reconstruction","Authentication","Inventory complete — Figma import blocked by MCP plan limit","Source path: 04-auth/04-registration-form-fr.png; dimensions: 941x1672"
"04-auth","04-welcome-sign-in-create-account-guest-fr.png","40 — Authentication","02 — Source Screenshots","SRC / 04-welcome-sign-in-create-account-guest-fr.png","","Authentication","welcome-sign-in-create-account-guest","French","Default","Screen reference","TBD after editable reconstruction","Authentication","Inventory complete — Figma import blocked by MCP plan limit","Source path: 04-auth/04-welcome-sign-in-create-account-guest-fr.png; dimensions: 941x1672"
"05-cart-wishlist","05-cart-empty-state-fr.png","50 — Cart & Wishlist","02 — Source Screenshots","SRC / 05-cart-empty-state-fr.png","","Cart & Wishlist","cart-empty-state","French","Empty","Screen state","TBD after editable reconstruction","Cart & Wishlist","Inventory complete — Figma import blocked by MCP plan limit","Source path: 05-cart-wishlist/05-cart-empty-state-fr.png; dimensions: 941x1672"
"05-cart-wishlist","05-cart-error-loading-state-fr.png","50 — Cart & Wishlist","02 — Source Screenshots","SRC / 05-cart-error-loading-state-fr.png","","Cart & Wishlist","cart-error-loading-state","French","Loading","Screen state","TBD after editable reconstruction","Cart & Wishlist","Inventory complete — Figma import blocked by MCP plan limit","Source path: 05-cart-wishlist/05-cart-error-loading-state-fr.png; dimensions: 941x1672"
"05-cart-wishlist","05-cart-invalid-promo-code-error-fr.png","50 — Cart & Wishlist","02 — Source Screenshots","SRC / 05-cart-invalid-promo-code-error-fr.png","","Cart & Wishlist","cart-invalid-promo-code-error","French","Error","Screen state","TBD after editable reconstruction","Cart & Wishlist","Inventory complete — Figma import blocked by MCP plan limit","Source path: 05-cart-wishlist/05-cart-invalid-promo-code-error-fr.png; dimensions: 941x1672"
"05-cart-wishlist","05-cart-items-list-ar.png","50 — Cart & Wishlist","02 — Source Screenshots","SRC / 05-cart-items-list-ar.png","","Cart & Wishlist","cart-items-list","Arabic","Default","Screen reference","TBD after editable reconstruction","Cart & Wishlist","Inventory complete — Figma import blocked by MCP plan limit","Source path: 05-cart-wishlist/05-cart-items-list-ar.png; dimensions: 941x1672"
"05-cart-wishlist","05-cart-items-promo-code-summary-fr.png","50 — Cart & Wishlist","02 — Source Screenshots","SRC / 05-cart-items-promo-code-summary-fr.png","","Cart & Wishlist","cart-items-promo-code-summary","French","Default","Screen reference","TBD after editable reconstruction","Cart & Wishlist","Inventory complete — Figma import blocked by MCP plan limit","Source path: 05-cart-wishlist/05-cart-items-promo-code-summary-fr.png; dimensions: 941x1672"
"05-cart-wishlist","05-cart-merge-guest-account-fusion-fr.png","50 — Cart & Wishlist","02 — Source Screenshots","SRC / 05-cart-merge-guest-account-fusion-fr.png","","Cart & Wishlist","cart-merge-guest-account-fusion","French","Default","Screen reference","TBD after editable reconstruction","Cart & Wishlist","Inventory complete — Figma import blocked by MCP plan limit","Source path: 05-cart-wishlist/05-cart-merge-guest-account-fusion-fr.png; dimensions: 941x1672"
"05-cart-wishlist","05-cart-modify-variant-bottom-sheet-fr.png","50 — Cart & Wishlist","02 — Source Screenshots","SRC / 05-cart-modify-variant-bottom-sheet-fr.png","","Cart & Wishlist","cart-modify-variant-bottom-sheet","French","Bottom Sheet","Overlay","TBD after editable reconstruction","Cart & Wishlist","Inventory complete — Figma import blocked by MCP plan limit","Source path: 05-cart-wishlist/05-cart-modify-variant-bottom-sheet-fr.png; dimensions: 941x1672"
"05-cart-wishlist","05-cart-multi-vendor-grouped-by-seller-fr.png","50 — Cart & Wishlist","02 — Source Screenshots","SRC / 05-cart-multi-vendor-grouped-by-seller-fr.png","","Cart & Wishlist","cart-multi-vendor-grouped-by-seller","French","Default","Screen reference","TBD after editable reconstruction","Cart & Wishlist","Inventory complete — Figma import blocked by MCP plan limit","Source path: 05-cart-wishlist/05-cart-multi-vendor-grouped-by-seller-fr.png; dimensions: 941x1672"
"05-cart-wishlist","05-cart-promo-applied-order-summary-fr.png","50 — Cart & Wishlist","02 — Source Screenshots","SRC / 05-cart-promo-applied-order-summary-fr.png","","Cart & Wishlist","cart-promo-applied-order-summary","French","Default","Screen reference","TBD after editable reconstruction","Cart & Wishlist","Inventory complete — Figma import blocked by MCP plan limit","Source path: 05-cart-wishlist/05-cart-promo-applied-order-summary-fr.png; dimensions: 941x1672"
"05-cart-wishlist","05-cart-promo-code-modal-available-offers-fr.png","50 — Cart & Wishlist","02 — Source Screenshots","SRC / 05-cart-promo-code-modal-available-offers-fr.png","","Cart & Wishlist","cart-promo-code-modal-available-offers","French","Modal","Dialog","TBD after editable reconstruction","Cart & Wishlist","Inventory complete — Figma import blocked by MCP plan limit","Source path: 05-cart-wishlist/05-cart-promo-code-modal-available-offers-fr.png; dimensions: 941x1672"
"05-cart-wishlist","05-cart-quantity-update-toast-fr.png","50 — Cart & Wishlist","02 — Source Screenshots","SRC / 05-cart-quantity-update-toast-fr.png","","Cart & Wishlist","cart-quantity-update-toast","French","Update","Screen state","TBD after editable reconstruction","Cart & Wishlist","Inventory complete — Figma import blocked by MCP plan limit","Source path: 05-cart-wishlist/05-cart-quantity-update-toast-fr.png; dimensions: 941x1672"
"05-cart-wishlist","05-cart-remove-item-confirmation-dialog-fr.png","50 — Cart & Wishlist","02 — Source Screenshots","SRC / 05-cart-remove-item-confirmation-dialog-fr.png","","Cart & Wishlist","cart-remove-item-confirmation-dialog","French","Confirmation","Dialog","TBD after editable reconstruction","Cart & Wishlist","Inventory complete — Figma import blocked by MCP plan limit","Source path: 05-cart-wishlist/05-cart-remove-item-confirmation-dialog-fr.png; dimensions: 941x1672"
"05-cart-wishlist","05-cart-skeleton-loading-state.png","50 — Cart & Wishlist","02 — Source Screenshots","SRC / 05-cart-skeleton-loading-state.png","","Cart & Wishlist","cart-skeleton-loading-state","Shared","Loading","Screen state","TBD after editable reconstruction","Cart & Wishlist","Inventory complete — Figma import blocked by MCP plan limit","Source path: 05-cart-wishlist/05-cart-skeleton-loading-state.png; dimensions: 941x1672"
"05-cart-wishlist","05-cart-update-needed-price-stock-changes-fr.png","50 — Cart & Wishlist","02 — Source Screenshots","SRC / 05-cart-update-needed-price-stock-changes-fr.png","","Cart & Wishlist","cart-update-needed-price-stock-changes","French","Update","Screen state","TBD after editable reconstruction","Cart & Wishlist","Inventory complete — Figma import blocked by MCP plan limit","Source path: 05-cart-wishlist/05-cart-update-needed-price-stock-changes-fr.png; dimensions: 941x1672"
